"","Agrupacion","Cargo","Codigo","Distrito","Establecimiento","Fecha","IdCargo","IdCircuito","IdDistrito","IdSeccion","Mesa","Seccion","electores","envio","idAgrupacion","idAgrupacionInt","tipoVoto","votos"
"1",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 18:55",7,"276",2,62,"01015X","Lanús",355,6,NA,NA,"blancos",6
"2",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 18:55",7,"276",2,62,"01015X","Lanús",355,6,NA,NA,"nulos",0
"3",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 18:55",7,"276",2,62,"01015X","Lanús",355,6,NA,NA,"recurridos",0
"4",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 18:55",7,"276",2,62,"01015X","Lanús",355,6,NA,NA,"comando",0
"5",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 18:55",7,"276",2,62,"01015X","Lanús",355,6,NA,NA,"impugnados",0
"6","JUNTOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 18:55",7,"276",2,62,"01015X","Lanús",355,6,506,43,"positivo",133
"7","FRENTE DE TODOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 18:55",7,"276",2,62,"01015X","Lanús",355,6,507,44,"positivo",85
"8","AVANZA LIBERTAD","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 18:55",7,"276",2,62,"01015X","Lanús",355,6,503,40,"positivo",27
"9","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 18:55",7,"276",2,62,"01015X","Lanús",355,6,504,41,"positivo",20
"10","FRENTE VAMOS CON VOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 18:55",7,"276",2,62,"01015X","Lanús",355,6,508,45,"positivo",6
"11",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:00",7,"276",2,62,"01013X","Lanús",350,7,NA,NA,"blancos",5
"12",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:00",7,"276",2,62,"01013X","Lanús",350,7,NA,NA,"nulos",4
"13",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:00",7,"276",2,62,"01013X","Lanús",350,7,NA,NA,"recurridos",0
"14",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:00",7,"276",2,62,"01013X","Lanús",350,7,NA,NA,"comando",0
"15",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:00",7,"276",2,62,"01013X","Lanús",350,7,NA,NA,"impugnados",0
"16","JUNTOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:00",7,"276",2,62,"01013X","Lanús",350,7,506,43,"positivo",130
"17","FRENTE DE TODOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:00",7,"276",2,62,"01013X","Lanús",350,7,507,44,"positivo",73
"18","AVANZA LIBERTAD","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:00",7,"276",2,62,"01013X","Lanús",350,7,503,40,"positivo",26
"19","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:00",7,"276",2,62,"01013X","Lanús",350,7,504,41,"positivo",20
"20","FRENTE VAMOS CON VOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:00",7,"276",2,62,"01013X","Lanús",350,7,508,45,"positivo",4
"21",NA,"CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,NA,NA,"blancos",2
"22",NA,"CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,NA,NA,"nulos",2
"23",NA,"CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,NA,NA,"recurridos",0
"24",NA,"CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,NA,NA,"comando",0
"25",NA,"CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,NA,NA,"impugnados",0
"26","FRENTE DE TODOS","CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,507,44,"positivo",99
"27","JUNTOS","CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,506,43,"positivo",84
"28","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,504,41,"positivo",15
"29","AVANZA LIBERTAD","CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,503,40,"positivo",12
"30","FRENTE VAMOS CON VOS","CONCEJALES",6324,"Buenos Aires","ESCUELA EP N°64/ESB N°61","14-11-2021 19:05",7,"273",2,62,"00689X","Lanús",351,8,508,45,"positivo",7
"31",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,NA,NA,"blancos",2
"32",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,NA,NA,"nulos",1
"33",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,NA,NA,"recurridos",0
"34",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,NA,NA,"comando",0
"35",NA,"CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,NA,NA,"impugnados",0
"36","JUNTOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,506,43,"positivo",105
"37","FRENTE DE TODOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,507,44,"positivo",91
"38","AVANZA LIBERTAD","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,503,40,"positivo",29
"39","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,504,41,"positivo",14
"40","FRENTE VAMOS CON VOS","CONCEJALES",6370,"Buenos Aires","ESCUELA EP N°19/ES N°48","14-11-2021 19:05",7,"276",2,62,"01014X","Lanús",352,8,508,45,"positivo",8
"41",NA,"CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,NA,NA,"blancos",10
"42",NA,"CONCEJALES",12745,"Buenos Aires","COLEGIO LAUSANNE","14-11-2021 19:10",7,"260",2,62,"00080X","Lanús",350,9,NA,NA,"nulos",0
